id,Meter Reading,Date
419816,20.4,03/01/2012 13:01:01
419816,19.3,03/01/2012 13:03:02
419816,20.1,03/01/2012 13:05:01
419816,19.5,03/01/2012 13:07:02
419816,20.7,03/01/2012 13:09:01
419816,19.6,03/01/2012 13:11:02
419816,20.5,03/01/2012 13:13:01
419816,19.3,03/01/2012 13:15:02
419816,20.9,03/01/2012 13:17:01
419816,19,03/01/2012 13:19:02
419816,20.3,03/01/2012 13:21:01
419816,19.6,03/01/2012 13:23:02
419816,20.1,03/01/2012 13:25:01
419816,19.4,03/01/2012 13:27:02
419816,20.7,03/01/2012 13:29:01
419816,19,03/01/2012 13:31:02
419816,20.4,03/01/2012 13:33:01
419816,19.8,03/01/2012 13:35:02
419816,20.6,03/01/2012 13:37:01
419816,19.4,03/01/2012 13:39:02
